League,Season,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
English Premier League,2023/24,Burnley,38.0,8.0,20.0,10.0,4.0,4.0,0.0,0.0,2.0,1.0,13.0,24.0,41.0,78.0,1.0263157894736843,4.2894736842105265,0.5159131578947369,50.0,50.0,0.0,10.0,0.0,10.0,34.21,0.632,1.079,2.053
English Premier League,2023/24,Chelsea,38.0,14.0,5.0,19.0,10.0,4.0,0.0,1.0,1.0,7.0,21.0,63.0,77.0,63.0,1.263157894736842,5.368421052631579,0.5872594594594595,71.43,28.57,0.0,40.0,20.0,36.84,55.26,1.658,2.026,1.658
English Premier League,2023/24,Crystal Palace,38.0,12.0,7.0,19.0,8.0,3.0,1.0,0.0,3.0,5.0,22.0,49.0,57.0,58.0,1.105263157894737,3.9210526315789473,0.6440472222222221,66.67,33.33,8.33,42.86,0.0,26.32,57.89,1.289,1.5,1.526
English Premier League,2023/24,Everton,38.0,8.0,10.0,20.0,6.0,1.0,1.0,0.0,3.0,7.0,20.0,48.0,40.0,51.0,1.0789473684210527,3.763157894736842,0.5976833333333335,75.0,25.0,12.5,30.0,0.0,35.0,52.63,1.263,1.053,1.342
English Premier League,2023/24,Fulham,38.0,9.0,11.0,18.0,7.0,2.0,0.0,0.0,1.0,6.0,16.0,47.0,55.0,61.0,1.1578947368421053,3.8157894736842106,0.6460571428571428,77.78,22.22,0.0,9.09,0.0,33.33,42.11,1.237,1.447,1.605
English Premier League,2023/24,Liverpool,38.0,14.0,8.0,16.0,11.0,3.0,0.0,3.0,3.0,10.0,21.0,82.0,86.0,41.0,1.263157894736842,4.342105263157895,0.5530243243243244,78.57,21.43,0.0,75.0,37.5,62.5,55.26,2.158,2.263,1.079
English Premier League,2023/24,Luton,38.0,9.0,18.0,11.0,4.0,0.0,5.0,0.0,3.0,2.0,14.0,26.0,52.0,85.0,1.0263157894736843,3.763157894736842,0.6313947368421053,44.44,55.56,55.56,16.67,0.0,18.18,36.84,0.684,1.368,2.237
English Premier League,2023/24,Man City,38.0,21.0,7.0,10.0,17.0,4.0,0.0,5.0,1.0,6.0,18.0,91.0,96.0,34.0,1.368421052631579,3.8157894736842106,0.575354054054054,80.95,19.05,0.0,85.71,71.43,60.0,47.37,2.395,2.526,0.895
English Premier League,2023/24,Man United,38.0,10.0,11.0,17.0,8.0,1.0,1.0,3.0,2.0,7.0,21.0,60.0,57.0,58.0,1.1578947368421053,4.368421052631579,0.622335135135135,80.0,20.0,10.0,45.45,27.27,41.18,55.26,1.579,1.5,1.526
English Premier League,2023/24,Newcastle,38.0,13.0,8.0,17.0,9.0,2.0,2.0,1.0,1.0,8.0,20.0,60.0,85.0,62.0,1.394736842105263,4.578947368421052,0.6069236842105262,69.23,30.77,15.38,25.0,12.5,47.06,52.63,1.579,2.237,1.632
English Premier League,2023/24,Nott'm Forest,38.0,7.0,12.0,19.0,5.0,1.0,1.0,0.0,2.0,4.0,17.0,36.0,49.0,67.0,0.868421052631579,4.2105263157894735,0.5310783783783785,71.43,28.57,14.29,16.67,0.0,21.05,44.74,0.947,1.289,1.763
English Premier League,2023/24,Sheffield United,38.0,4.0,18.0,16.0,2.0,2.0,0.0,0.0,1.0,1.0,15.0,16.0,35.0,104.0,1.2105263157894737,3.973684210526316,0.5879421052631578,50.0,50.0,0.0,5.56,0.0,6.25,39.47,0.421,0.921,2.737
English Premier League,2023/24,Tottenham,38.0,11.0,12.0,15.0,8.0,1.0,2.0,3.0,2.0,9.0,20.0,66.0,74.0,61.0,1.3421052631578947,5.052631578947368,0.5935499999999999,72.73,27.27,18.18,41.67,25.0,60.0,52.63,1.737,1.947,1.605
English Premier League,2023/24,West Ham,38.0,13.0,14.0,11.0,6.0,4.0,3.0,3.0,2.0,5.0,19.0,52.0,60.0,74.0,1.2894736842105263,3.9473684210526314,0.5754189189189188,46.15,53.85,23.08,35.71,21.43,45.45,50.0,1.368,1.579,1.947
English Premier League,2023/24,Wolves,38.0,10.0,15.0,13.0,8.0,0.0,2.0,2.0,1.0,3.0,12.0,46.0,50.0,65.0,0.8157894736842105,4.894736842105263,0.5535432432432432,80.0,20.0,20.0,20.0,13.33,23.08,31.58,1.211,1.316,1.711
