League,Team,Venue,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
Spanish La Liga,Eibar,Away,114.0,23.0,42.0,49.0,13.0,7.0,3.0,2.0,7.0,8.0,47.0,104.0,114.0,191.0,0.9210526315789473,4.640350877192983,0.5508857142857143,56.52,43.48,13.04,21.43,4.76,16.33,41.23,0.912,1.0,1.675
Spanish La Liga,Eibar,Home,114.0,32.0,40.0,42.0,27.0,5.0,0.0,4.0,8.0,14.0,44.0,163.0,149.0,129.0,0.9035087719298246,4.552631578947368,0.5134152380952381,84.38,15.62,0.0,30.0,10.0,33.33,38.6,1.43,1.307,1.132
Spanish La Liga,Elche,Away,57.0,8.0,27.0,22.0,4.0,3.0,1.0,1.0,3.0,4.0,25.0,38.0,44.0,101.0,0.9298245614035088,4.842105263157895,0.5476196428571428,50.0,50.0,12.5,14.81,3.7,18.18,43.86,0.667,0.772,1.772
Spanish La Liga,Elche,Home,57.0,16.0,21.0,20.0,9.0,5.0,2.0,1.0,6.0,5.0,25.0,65.0,60.0,73.0,0.9298245614035088,5.245614035087719,0.470062962962963,56.25,43.75,12.5,33.33,4.76,25.0,43.86,1.14,1.053,1.281
Spanish La Liga,Espanol,Away,152.0,31.0,57.0,64.0,14.0,11.0,6.0,0.0,9.0,14.0,68.0,126.0,144.0,252.0,0.881578947368421,5.5855263157894735,0.5701880281690141,45.16,54.84,19.35,15.79,0.0,21.88,44.74,0.829,0.947,1.658
Spanish La Liga,Espanol,Home,152.0,41.0,44.0,67.0,28.0,9.0,4.0,4.0,11.0,27.0,71.0,221.0,188.0,195.0,0.8486842105263158,5.184210526315789,0.5614902097902098,68.29,31.71,9.76,34.09,9.09,40.3,46.71,1.454,1.237,1.283
Spanish La Liga,Getafe,Away,171.0,29.0,70.0,72.0,17.0,8.0,4.0,3.0,9.0,15.0,59.0,159.0,147.0,239.0,0.7426900584795322,6.52046783625731,0.4927171052631579,58.62,41.38,13.79,17.14,4.29,20.83,34.5,0.93,0.86,1.398
Spanish La Liga,Getafe,Home,171.0,39.0,36.0,96.0,32.0,4.0,3.0,2.0,5.0,32.0,68.0,249.0,194.0,155.0,0.8362573099415205,6.093567251461988,0.5775523809523809,82.05,17.95,7.69,19.44,5.56,33.33,39.77,1.456,1.135,0.906
Spanish La Liga,Girona,Away,95.0,24.0,33.0,38.0,16.0,7.0,1.0,1.0,6.0,12.0,40.0,113.0,116.0,147.0,0.8526315789473684,5.2105263157894735,0.5514466666666666,66.67,33.33,4.17,21.21,3.03,31.58,42.11,1.189,1.221,1.547
Spanish La Liga,Girona,Home,95.0,34.0,18.0,43.0,28.0,3.0,3.0,3.0,1.0,12.0,40.0,146.0,158.0,126.0,1.0210526315789474,4.926315789473684,0.5918122222222222,82.35,17.65,8.82,22.22,16.67,27.91,42.11,1.537,1.663,1.326
Spanish La Liga,Granada,Away,114.0,18.0,57.0,39.0,11.0,7.0,0.0,2.0,7.0,4.0,43.0,77.0,117.0,236.0,1.0175438596491229,5.798245614035087,0.5560752293577981,61.11,38.89,0.0,15.79,3.51,10.26,37.72,0.675,1.026,2.07
Spanish La Liga,Granada,Home,114.0,28.0,36.0,50.0,22.0,4.0,2.0,1.0,6.0,15.0,44.0,143.0,140.0,165.0,0.7982456140350878,5.587719298245614,0.5442364485981308,78.57,21.43,7.14,19.44,2.78,30.0,38.6,1.254,1.228,1.447
Spanish La Liga,Huesca,Away,38.0,7.0,16.0,15.0,4.0,2.0,1.0,0.0,4.0,0.0,16.0,24.0,36.0,67.0,0.868421052631579,4.342105263157895,0.6114314285714285,57.14,42.86,14.29,25.0,0.0,0.0,42.11,0.632,0.947,1.763
Spanish La Liga,Huesca,Home,38.0,6.0,14.0,18.0,4.0,2.0,0.0,1.0,4.0,5.0,18.0,43.0,41.0,51.0,0.868421052631579,4.7368421052631575,0.6162727272727274,66.67,33.33,0.0,35.71,7.14,27.78,47.37,1.132,1.079,1.342
Spanish La Liga,La Coruna,Away,57.0,10.0,25.0,22.0,5.0,4.0,1.0,0.0,6.0,2.0,21.0,43.0,52.0,108.0,1.0,4.245614035087719,0.5198647058823529,50.0,50.0,10.0,24.0,0.0,9.09,36.84,0.754,0.912,1.895
Spanish La Liga,La Coruna,Home,57.0,18.0,20.0,19.0,11.0,5.0,2.0,0.0,4.0,4.0,20.0,64.0,74.0,90.0,0.7543859649122807,5.0701754385964914,0.5064134615384616,61.11,38.89,11.11,20.0,0.0,21.05,35.09,1.123,1.298,1.579
Spanish La Liga,Las Palmas,Away,95.0,14.0,46.0,35.0,10.0,2.0,2.0,1.0,8.0,3.0,40.0,60.0,81.0,180.0,0.9789473684210527,5.136842105263158,0.554632967032967,71.43,28.57,14.29,19.57,2.17,8.57,42.11,0.632,0.853,1.895
Spanish La Liga,Las Palmas,Home,95.0,22.0,28.0,45.0,13.0,7.0,2.0,2.0,4.0,16.0,47.0,117.0,114.0,129.0,1.0526315789473684,5.536842105263158,0.62688,59.09,40.91,9.09,21.43,7.14,35.56,49.47,1.232,1.2,1.358
Spanish La Liga,Leganes,Away,95.0,13.0,37.0,45.0,6.0,4.0,3.0,2.0,5.0,7.0,40.0,73.0,76.0,145.0,0.8315789473684211,5.294736842105263,0.5702953488372093,46.15,53.85,23.08,18.92,5.41,15.56,42.11,0.768,0.8,1.526
Spanish La Liga,Leganes,Home,95.0,22.0,25.0,48.0,16.0,4.0,2.0,2.0,4.0,15.0,41.0,126.0,100.0,111.0,0.8736842105263158,5.178947368421053,0.6346843373493977,72.73,27.27,9.09,24.0,8.0,31.25,43.16,1.326,1.053,1.168
Spanish La Liga,Levante,Away,114.0,20.0,39.0,55.0,11.0,5.0,4.0,0.0,5.0,11.0,54.0,91.0,120.0,213.0,1.1228070175438596,5.078947368421052,0.6184458715596329,55.0,45.0,20.0,12.82,0.0,20.0,47.37,0.798,1.053,1.868
Spanish La Liga,Levante,Home,114.0,31.0,37.0,46.0,18.0,10.0,3.0,4.0,10.0,17.0,54.0,156.0,164.0,167.0,0.956140350877193,5.631578947368421,0.6078663551401869,58.06,41.94,9.68,37.84,10.81,36.96,47.37,1.368,1.439,1.465
Spanish La Liga,Malaga,Away,57.0,5.0,24.0,28.0,3.0,2.0,0.0,1.0,3.0,3.0,23.0,37.0,39.0,84.0,0.7543859649122807,5.333333333333333,0.5741823529411765,60.0,40.0,0.0,16.67,4.17,10.71,40.35,0.649,0.684,1.474
Spanish La Liga,Malaga,Home,57.0,18.0,15.0,24.0,14.0,2.0,2.0,1.0,1.0,7.0,22.0,77.0,72.0,67.0,0.7719298245614035,5.824561403508772,0.5016660377358492,77.78,22.22,11.11,13.33,6.67,29.17,38.6,1.351,1.263,1.175
Spanish La Liga,Mallorca,Away,95.0,10.0,39.0,46.0,6.0,3.0,1.0,0.0,6.0,10.0,45.0,68.0,77.0,163.0,0.8631578947368421,5.0,0.6180822222222222,60.0,40.0,10.0,15.38,0.0,21.74,47.37,0.716,0.811,1.716
Spanish La Liga,Mallorca,Home,95.0,29.0,15.0,51.0,21.0,6.0,2.0,1.0,2.0,16.0,42.0,142.0,104.0,96.0,0.7263157894736842,5.494736842105263,0.5525785714285715,72.41,27.59,6.9,20.0,6.67,31.37,44.21,1.495,1.095,1.011
Spanish La Liga,Osasuna,Away,133.0,31.0,48.0,54.0,17.0,9.0,5.0,3.0,6.0,11.0,52.0,133.0,127.0,210.0,0.9022556390977443,4.390977443609023,0.6230295081967213,54.84,45.16,16.13,18.75,6.25,20.37,39.1,1.0,0.955,1.579
Spanish La Liga,Osasuna,Home,133.0,33.0,38.0,62.0,23.0,8.0,2.0,2.0,6.0,23.0,56.0,182.0,163.0,187.0,0.8646616541353384,4.917293233082707,0.580915,69.7,30.3,6.06,21.05,5.26,37.1,42.11,1.368,1.226,1.406
Spanish La Liga,Real Madrid,Away,190.0,85.0,31.0,74.0,73.0,11.0,1.0,7.0,6.0,35.0,74.0,387.0,372.0,197.0,0.9263157894736842,4.984210526315789,0.5431396648044693,85.88,14.12,1.18,41.94,22.58,47.3,38.95,2.037,1.958,1.037
Spanish La Liga,Real Madrid,Home,190.0,98.0,22.0,70.0,95.0,2.0,1.0,8.0,6.0,38.0,64.0,454.0,458.0,152.0,1.231578947368421,4.126315789473685,0.5902314606741572,96.94,3.06,1.02,63.64,36.36,54.29,33.68,2.389,2.411,0.8
Spanish La Liga,Sevilla,Away,190.0,42.0,65.0,83.0,26.0,10.0,6.0,6.0,17.0,25.0,92.0,228.0,224.0,268.0,0.9052631578947369,5.573684210526316,0.5717891428571428,61.9,38.1,14.29,35.38,9.23,30.12,48.42,1.2,1.179,1.411
Spanish La Liga,Sevilla,Home,190.0,64.0,35.0,91.0,51.0,10.0,3.0,4.0,9.0,51.0,93.0,361.0,304.0,196.0,0.9578947368421052,5.405263157894737,0.5946620879120879,79.69,20.31,4.69,37.14,11.43,56.04,48.95,1.9,1.6,1.032
Spanish La Liga,Sociedad,Away,190.0,53.0,59.0,78.0,38.0,8.0,7.0,4.0,7.0,28.0,76.0,253.0,230.0,250.0,0.8842105263157894,4.878947368421053,0.5195063953488371,71.7,28.3,13.21,18.64,6.78,35.9,40.0,1.332,1.211,1.316
Spanish La Liga,Sociedad,Home,190.0,70.0,35.0,85.0,59.0,6.0,5.0,3.0,8.0,27.0,73.0,315.0,277.0,199.0,0.8578947368421053,5.168421052631579,0.5492965517241378,84.29,15.71,7.14,31.43,8.57,31.76,38.42,1.658,1.458,1.047
Spanish La Liga,Sp Gijon,Away,38.0,4.0,15.0,19.0,3.0,0.0,1.0,0.0,2.0,2.0,13.0,26.0,28.0,68.0,0.8421052631578947,5.447368421052632,0.6592312499999999,75.0,25.0,25.0,13.33,0.0,10.53,34.21,0.684,0.737,1.789
Spanish La Liga,Sp Gijon,Home,38.0,10.0,11.0,17.0,6.0,2.0,2.0,1.0,1.0,5.0,18.0,44.0,54.0,66.0,1.0526315789473684,5.105263157894737,0.5130621621621623,60.0,40.0,20.0,18.18,9.09,29.41,47.37,1.158,1.421,1.737
Spanish La Liga,Valencia,Away,190.0,33.0,68.0,89.0,20.0,10.0,3.0,5.0,16.0,22.0,98.0,192.0,209.0,290.0,0.8789473684210526,5.4526315789473685,0.5608240223463686,60.61,39.39,9.09,30.88,7.35,24.72,51.58,1.011,1.1,1.526
Spanish La Liga,Valencia,Home,190.0,71.0,34.0,85.0,59.0,11.0,1.0,2.0,12.0,23.0,73.0,313.0,279.0,199.0,0.7631578947368421,5.5,0.5733354285714285,83.1,16.9,1.41,41.18,5.88,27.06,38.42,1.647,1.468,1.047
Spanish La Liga,Valladolid,Away,95.0,12.0,38.0,45.0,8.0,3.0,1.0,0.0,7.0,7.0,43.0,68.0,72.0,176.0,0.9263157894736842,4.88421052631579,0.6059249999999999,66.67,33.33,8.33,18.42,0.0,15.56,45.26,0.716,0.758,1.853
Spanish La Liga,Valladolid,Home,95.0,23.0,26.0,46.0,14.0,6.0,3.0,2.0,5.0,8.0,43.0,102.0,85.0,128.0,0.8421052631578947,4.905263157894737,0.6138357142857144,60.87,39.13,13.04,26.92,7.69,17.39,45.26,1.074,0.895,1.347
Spanish La Liga,Vallecano,Away,114.0,25.0,39.0,50.0,11.0,9.0,5.0,0.0,6.0,11.0,56.0,95.0,97.0,182.0,1.0175438596491229,5.307017543859649,0.5917933333333334,44.0,56.0,20.0,15.38,0.0,22.0,49.12,0.833,0.851,1.596
Spanish La Liga,Vallecano,Home,114.0,37.0,31.0,46.0,24.0,9.0,4.0,2.0,6.0,14.0,46.0,156.0,150.0,157.0,0.8157894736842105,5.2105263157894735,0.5190933333333334,64.86,35.14,10.81,25.81,6.45,30.43,40.35,1.368,1.316,1.377
